Topic,Count,Name,Representation,Representative_Docs
221,17,221_donations_damages_states_hart,"['donations', 'damages', 'states', 'hart', 'check', 'warranty', 'disclaimers', 'deductible', 'consequential', 'liability']","['While we cannot solicit donations from people in states where we are not yet registered, we know of no prohibition against accepting donations from donors in these states who approach us with an offer to donate.', 'LIMITED WARRANTY; DISCLAIMER OF DAMAGES But for the ""Right of Replacement or Refund"" described below, [1] Michael Hart and the Foundation (and any other party you may receive this eBook from as a PROJECT GUTENBERG-tm eBook) disclaims all liability to you for damages, costs and expenses, including legal fees, and [2] YOU HAVE NO REMEDIES FOR NEGLIGENCE OR UNDER STRICT LIABILITY, OR FOR BREACH OF WARRANTY OR CONTRACT, INCLUDING BUT NOT LIMITED TO INDIRECT, CONSEQUENTIAL, PUNITIVE OR INCIDENTAL DAMAGES, EVEN IF YOU GIVE NOTICE OF THE POSSIBILITY OF SUCH DAMAGES.', 'As of February, 2002, contributions are being solicited from people and organizations in: Alabama, Alaska, Arkansas, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Massachusetts, Michigan, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, and Wyoming.']"
222,17,222_dance_dancing_won_join,"['dance', 'dancing', 'won', 'join', 'gilbert', 'crowd', 'danced', 'you', 'pleasure', 'would']","['""Mrs. Gilbert does not mean to dance, but there is a young lady disengaged whom I should be very glad to see dancing--Miss Smith."" ""Miss Smith!--oh!--I had not observed.--You are extremely obliging-- and if I were not an old married man.--But my dancing days are over, Mrs. Weston.  You will excuse me.  Any thing else I should be most happy to do, at your command--but my dancing days are over.""', ""Will you, won't you, will you, won't you, will you join the dance?  Will you, won't you, will you, won't you, won't you join the dance?"", 'Will you, won\'t you, will you, won\'t you, will you join the dance?  Will you, won\'t you, will you, won\'t you, won\'t you join the dance?""\'']"
223,17,223_numbered_hundred_host_thousand,"['numbered', 'hundred', 'host', 'thousand', 'fifty', 'were', 'those', 'five', 'four', 'forty']","['2:30 And his host, and those that were numbered of them, were fifty and three thousand and four hundred.', '2:8 And his host, and those that were numbered thereof, were fifty and seven thousand and four hundred.', '2:15 And his host, and those that were numbered of them, were forty and five thousand and six hundred and fifty.']"
224,17,224_slain_uncircumcised_sword_32,"['slain', 'uncircumcised', 'sword', '32', 'terror', 'midst', 'caused', 'pit', 'graves', 'lie']","['32:24 There is Elam and all her multitude round about her grave, all of them slain, fallen by the sword, which are gone down uncircumcised into the nether parts of the earth, which caused their terror in the land of the living; yet have they borne their shame with them that go down to the pit.', '32:32 For I have caused my terror in the land of the living: and he shall be laid in the midst of the uncircumcised with them that are slain with the sword, even Pharaoh and all his multitude, saith the Lord GOD.', '32:25 They have set her a bed in the midst of the slain with all her multitude: her graves are round about him: all of them uncircumcised, slain by the sword: though their terror was caused in the land of the living, yet have they borne their shame with them that go down to the pit: he is put in the midst of them that be slain.']"
225,16,225_palmer_cleveland_mr_droll,"['palmer', 'cleveland', 'mr', 'droll', 'westons', 'you', 'quite', 'disappointed', 'cannot', 'chaperon']","['""Well--I am so glad you do.  I thought you would, he is so pleasant; and Mr. Palmer is excessively pleased with you and your sisters I can tell you, and you can\'t think how disappointed he will be if you don\'t come to Cleveland.--I can\'t imagine why you should object to it.""', '""But indeed you must and shall come.  I am sure you will like it of all things.  The Westons will be with us, and it will be quite delightful.  You cannot think what a sweet place Cleveland is; and we are so gay now, for Mr. Palmer is always going about the country canvassing against the election; and so many people came to dine with us that I never saw before, it is quite charming!  But, poor fellow! it is very fatiguing to him! for he is forced to make every body like him.""', '""Oh, my dear Miss Dashwood,"" said Mrs. Palmer soon afterwards, ""I have got such a favour to ask of you and your sister. Will you come and spend some time at Cleveland this Christmas?  Now, pray do,--and come while the Westons are with us.  You cannot think how happy I shall be!  It will be quite delightful!--My love,"" applying to her husband, ""don\'t you long to have the Miss Dashwoods come to Cleveland?""']"
226,16,226_doct_gent_knowne_bed,"['doct', 'gent', 'knowne', 'bed', 'haue', 'shee', 'ha', 'receyue', 'wayting', 'slumbry']","['Doct. You see her eyes are open', 'Doct. Go too, go too: You haue knowne what you should not', 'Doct. Will she go now to bed?   Gent. Directly']"
227,16,227_loaves_fishes_disciples_bread,"['loaves', 'fishes', 'disciples', 'bread', 'brake', 'five', 'ye', 'baskets', 'multitude', 'gave']","['6:41 And when he had taken the five loaves and the two fishes, he looked up to heaven, and blessed, and brake the loaves, and gave them to his disciples to set before them; and the two fishes divided he among them all.', '9:16 Then he took the five loaves and the two fishes, and looking up to heaven, he blessed them, and brake, and gave to the disciples to set before the multitude.', '14:19 And he commanded the multitude to sit down on the grass, and took the five loaves, and the two fishes, and looking up to heaven, he blessed, and brake, and gave the loaves to his disciples, and the disciples to the multitude.']"
228,16,228_ratcliffe_inspector_gloomy_green,"['ratcliffe', 'inspector', 'gloomy', 'green', 'quietly', 'french', 'cynicism', 'sunday', 'syme', 'huntsman']","['Syme pointed this out to Ratcliffe.', '""Had you time for thinking then?"" asked Ratcliffe.', '""Yes,"" said Ratcliffe, ""and they are going to fire on us.""']"
229,16,229_42_disquieted_soul_panteth,"['42', 'disquieted', 'soul', 'panteth', 'god', 'praise', 'art', 'why', 'countenance', 'cast']","['43:5 Why art thou cast down, O my soul? and why art thou disquieted within me? hope in God: for I shall yet praise him, who is the health of my countenance, and my God.', '42:5 Why art thou cast down, O my soul? and why art thou disquieted in me?  hope thou in God: for I shall yet praise him for the help of his countenance.', '42:11 Why art thou cast down, O my soul? and why art thou disquieted within me? hope thou in God: for I shall yet praise him, who is the health of my countenance, and my God.']"
230,16,230_139_compassest_downsitting_knowest,"['139', 'compassest', 'downsitting', 'knowest', 'whither', 'thou', 'hast', 'understandest', 'hate', 'art']","['139:24 And see if there be any wicked way in me, and lead me in the way everlasting.', '139:4 For there is not a word in my tongue, but, lo, O LORD, thou knowest it altogether.', '139:1 O lord, thou hast searched me, and known me.']"
231,16,231_witness_believeth_sent_hath,"['witness', 'believeth', 'sent', 'hath', 'beareth', 'bear', 'receive', 'accuseth', 'father', 'witnesseth']","['5:31 If I bear witness of myself, my witness is not true.', '5:9 If we receive the witness of men, the witness of God is greater: for this is the witness of God which he hath testified of his Son.', '8:18 I am one that bear witness of myself, and the Father that sent me beareth witness of me.']"
232,16,232_satan_angels_comest_ministered,"['satan', 'angels', 'comest', 'ministered', 'fro', 'angel', 'written', 'whence', 'lord', 'present']","['1:12 And the LORD said unto Satan, Behold, all that he hath is in thy power; only upon himself put not forth thine hand. So Satan went forth from the presence of the LORD.', '2:2 And the LORD said unto Satan, From whence comest thou? And Satan answered the LORD, and said, From going to and fro in the earth, and from walking up and down in it.', '1:7 And the LORD said unto Satan, Whence comest thou? Then Satan answered the LORD, and said, From going to and fro in the earth, and from walking up and down in it.']"
233,16,233_jonah_nineveh_gourd_tarshish,"['jonah', 'nineveh', 'gourd', 'tarshish', 'angry', 'city', 'belly', 'fish', 'lots', 'arise']","[""3:3 So Jonah arose, and went unto Nineveh, according to the word of the LORD. Now Nineveh was an exceeding great city of three days' journey."", '4:6 And the LORD God prepared a gourd, and made it to come up over Jonah, that it might be a shadow over his head, to deliver him from his grief. So Jonah was exceeding glad of the gourd.', '1:17 Now the LORD had prepared a great fish to swallow up Jonah. And Jonah was in the belly of the fish three days and three nights.']"
234,15,234_sheep_shepherd_10_hireling,"['sheep', 'shepherd', '10', 'hireling', 'verily', 'fleeth', 'entereth', 'wolf', 'fold', 'door']","['10:2 But he that entereth in by the door is the shepherd of the sheep.', '10:14 I am the good shepherd, and know my sheep, and am known of mine.', '10:12 But he that is an hireling, and not the shepherd, whose own the sheep are not, seeth the wolf coming, and leaveth the sheep, and fleeth: and the wolf catcheth them, and scattereth the sheep.']"
235,15,235_seventh_sixth_hour_evening,"['seventh', 'sixth', 'hour', 'evening', 'darkness', 'ninth', 'day', 'morning', 'rested', 'fourth']","['27:45 Now from the sixth hour there was darkness over all the land unto the ninth hour.', '23:44 And it was about the sixth hour, and there was a darkness over all the earth until the ninth hour.', '15:33 And when the sixth hour was come, there was darkness over the whole land until the ninth hour.']"
236,15,236_dream_interpretation_nebuchadnezzar_thereof,"['dream', 'interpretation', 'nebuchadnezzar', 'thereof', 'shew', 'known', 'chaldeans', 'troubled', 'king', 'visions']","['2:7 They answered again and said, Let the king tell his servants the dream, and we will shew the interpretation of it.', '2:6 But if ye shew the dream, and the interpretation thereof, ye shall receive of me gifts and rewards and great honour: therefore shew me the dream, and the interpretation thereof.', '2:36 This is the dream; and we will tell the interpretation thereof before the king.']"
237,15,237_woman_11_shorn_shaven,"['woman', '11', 'shorn', 'shaven', 'head', 'uncovered', 'man', 'mothers', 'hair', 'glory']","['11:9 Neither was the man created for the woman; but the woman for the man.', '11:12 For as the woman is of the man, even so is the man also by the woman; but all things of God.', '11:8 For the man is not of the woman: but the woman of the man.']"
238,15,238_abram_lot_dwelled_bethel,"['abram', 'lot', 'dwelled', 'bethel', 'hai', 'tent', '13', 'herdmen', 'plain', 'mamre']","[""14:12 And they took Lot, Abram's brother's son, who dwelt in Sodom, and his goods, and departed."", '13:1 And Abram went up out of Egypt, he, and his wife, and all that he had, and Lot with him, into the south.', '12:4 So Abram departed, as the LORD had spoken unto him; and Lot went with him: and Abram was seventy and five years old when he departed out of Haran.']"
239,15,239_pigeons_offering_turtledoves_atonement,"['pigeons', 'offering', 'turtledoves', 'atonement', 'sin', 'priest', 'burnt', 'young', 'turtles', 'bring']","['12:8 And if she be not able to bring a lamb, then she shall bring two turtles, or two young pigeons; the one for the burnt offering, and the other for a sin offering: and the priest shall make an atonement for her, and she shall be clean.', '14:30 And he shall offer the one of the turtledoves, or of the young pigeons, such as he can get; 14:31 Even such as he is able to get, the one for a sin offering, and the other for a burnt offering, with the meat offering: and the priest shall make an atonement for him that is to be cleansed before the LORD.', '15:14 And on the eighth day he shall take to him two turtledoves, or two young pigeons, and come before the LORD unto the door of the tabernacle of the congregation, and give them unto the priest: 15:15 And the priest shall offer them, the one for a sin offering, and the other for a burnt offering; and the priest shall make an atonement for him before the LORD for his issue.']"
240,15,240_19_cities_shalt_thou,"['19', 'cities', 'shalt', 'thou', 'thy', 'thee', 'giveth', 'die', 'hast', 'blood']","['19:18 And Lot said unto them, Oh, not so, my LORD: 19:19 Behold now, thy servant hath found grace in thy sight, and thou hast magnified thy mercy, which thou hast shewed unto me in saving my life; and I cannot escape to the mountain, lest some evil take me, and I die: 19:20 Behold now, this city is near to flee unto, and it is a little one: Oh, let me escape thither, (is it not a little one?) and my soul shall live.', '19:8 And if the LORD thy God enlarge thy coast, as he hath sworn unto thy fathers, and give thee all the land which he promised to give unto thy fathers; 19:9 If thou shalt keep all these commandments to do them, which I command thee this day, to love the LORD thy God, and to walk ever in his ways; then shalt thou add three cities more for thee, beside these three: 19:10 That innocent blood be not shed in thy land, which the LORD thy God giveth thee for an inheritance, and so blood be upon thee.', '19:1 When the LORD thy God hath cut off the nations, whose land the LORD thy God giveth thee, and thou succeedest them, and dwellest in their cities, and in their houses; 19:2 Thou shalt separate three cities for thee in the midst of thy land, which the LORD thy God giveth thee to possess it.']"
241,15,241_moab_moabites_rebelled_king,"['moab', 'moabites', 'rebelled', 'king', 'israel', 'sheepmaster', 'kings', 'sharezer', 'armenia', 'sore']","['3:22 And they rose up early in the morning, and the sun shone upon the water, and the Moabites saw the water on the other side as red as blood: 3:23 And they said, This is blood: the kings are surely slain, and they have smitten one another: now therefore, Moab, to the spoil.', '19:37 And the first born bare a son, and called his name Moab: the same is the father of the Moabites unto this day.', '3:28 And he said unto them, Follow after me: for the LORD hath delivered your enemies the Moabites into your hand. And they went down after him, and took the fords of Jordan toward Moab, and suffered not a man to pass over.']"
242,15,242_edward_hunters_dull_you,"['edward', 'hunters', 'dull', 'you', 'yesterday', 'forgive', 'spent', 'would', 'shaky', 'rupture']","['""No, Edward, I should have something else to do with it.""', '""I will honestly tell you of one scheme which has lately come into my head, for bringing matters to bear; indeed I am bound to let you into the secret, for you are a party concerned.  I dare say you have seen enough of Edward to know that he would prefer the church to every other profession; now my plan is that he should take orders as soon as he can, and then through your interest, which I am sure you would be kind enough to use out of friendship for him, and I hope out of some regard to me, your brother might be persuaded to give him Norland living; which I understand is a very good one, and the present incumbent not likely to live a great while.  That would be enough for us to marry upon, and we might trust to time and chance for the rest.""', '""Oh, Edward! How can you?--But the time will come I hope...I am sure you will like him.""']"
243,15,243_stead_reigned_hadad_husham,"['stead', 'reigned', 'hadad', 'husham', 'samlah', 'baalhanan', 'jobab', 'died', '36', 'achbor']","['36:38 And Saul died, and Baalhanan the son of Achbor reigned in his stead.', '36:35 And Husham died, and Hadad the son of Bedad, who smote Midian in the field of Moab, reigned in his stead: and the name of his city was Avith.', '36:36 And Hadad died, and Samlah of Masrekah reigned in his stead.']"
244,15,244_syme_black_poet_beard,"['syme', 'black', 'poet', 'beard', 'buildings', 'saffron', 'figure', 'sky', 'hair', 'looked']","['They paused for a few minutes only to stuff down coffee and coarse thick sandwiches at a coffee stall, and then made their way across the river, which under the grey and growing light looked as desolate as Acheron. They reached the bottom of the huge block of buildings which they had seen from across the river, and began in silence to mount the naked and numberless stone steps, only pausing now and then to make short remarks on the rail of the banisters. At about every other flight they passed a window; each window showed them a pale and tragic dawn lifting itself laboriously over London. From each the innumerable roofs of slate looked like the leaden surges of a grey, troubled sea after rain. Syme was increasingly conscious that his new adventure had somehow a quality of cold sanity worse than the wild adventures of the past. Last night, for instance, the tall tenements had seemed to him like a tower in a dream. As he now went up the weary and perpetual steps, he was daunted and bewildered by their almost infinite series. But it was not the hot horror of a dream or of anything that might be exaggeration or delusion. Their infinity was more like the empty infinity of arithmetic, something unthinkable, yet necessary to thought. Or it was like the stunning statements of astronomy about the distance of the fixed stars. He was ascending the house of reason, a thing more hideous than unreason itself.', 'He was typical of each of the tribe; each man was subtly and differently wrong. Next to him sat Tuesday, the tousle-headed Gogol, a man more obviously mad. Next was Wednesday, a certain Marquis de St. Eustache, a sufficiently characteristic figure. The first few glances found nothing unusual about him, except that he was the only man at table who wore the fashionable clothes as if they were really his own. He had a black French beard cut square and a black English frock-coat cut even squarer. But Syme, sensitive to such things, felt somehow that the man carried a rich atmosphere with him, a rich atmosphere that suffocated. It reminded one irrationally of drowsy odours and of dying lamps in the darker poems of Byron and Poe. With this went a sense of his being clad, not in lighter colours, but in softer materials; his black seemed richer and warmer than the black shades about him, as if it were compounded of profound colour. His black coat looked as if it were only black by being too dense a purple. His black beard looked as if it were only black by being too deep a blue. And in the gloom and thickness of the beard his dark red mouth showed sensual and scornful. Whatever he was he was not a Frenchman; he might be a Jew; he might be something deeper yet in the dark heart of the East. In the bright coloured Persian tiles and pictures showing tyrants hunting, you may see just those almond eyes, those blue-black beards, those cruel, crimson lips.', 'AT first the large stone stair seemed to Syme as deserted as a pyramid; but before he reached the top he had realised that there was a man leaning over the parapet of the Embankment and looking out across the river. As a figure he was quite conventional, clad in a silk hat and frock-coat of the more formal type of fashion; he had a red flower in his buttonhole. As Syme drew nearer to him step by step, he did not even move a hair; and Syme could come close enough to notice even in the dim, pale morning light that his face was long, pale and intellectual, and ended in a small triangular tuft of dark beard at the very point of the chin, all else being clean-shaven. This scrap of hair almost seemed a mere oversight; the rest of the face was of the type that is best shaven--clear-cut, ascetic, and in its way noble. Syme drew closer and closer, noting all this, and still the figure did not stir.']"
245,15,245_rabbit_alice_gloves_duchess,"['rabbit', 'alice', 'gloves', 'duchess', 'she', 'fan', 'ferrets', 'anxiously', 'white', 'hush']","[""It was the White Rabbit, trotting slowly back again, and looking anxiously about as it went, as if it had lost something; and she heard it muttering to itself 'The Duchess! The Duchess! Oh my dear paws! Oh my fur and whiskers! She'll get me executed, as sure as ferrets are ferrets! Where CAN I have dropped them, I wonder?' Alice guessed in a moment that it was looking for the fan and the pair of white kid gloves, and she very good-naturedly began hunting about for them, but they were nowhere to be seen--everything seemed to have changed since her swim in the pool, and the great hall, with the glass table and the little door, had vanished completely."", ""There was nothing so VERY remarkable in that; nor did Alice think it so VERY much out of the way to hear the Rabbit say to itself, 'Oh dear! Oh dear! I shall be late!' (when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the Rabbit actually TOOK A WATCH OUT OF ITS WAISTCOAT-POCKET, and looked at it, and then hurried on, Alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and fortunately was just in time to see it pop down a large rabbit-hole under the hedge."", ""After a time she heard a little pattering of feet in the distance, and she hastily dried her eyes to see what was coming. It was the White Rabbit returning, splendidly dressed, with a pair of white kid gloves in one hand and a large fan in the other: he came trotting along in a great hurry, muttering to himself as he came, 'Oh! the Duchess, the Duchess! Oh! won't she be savage if I've kept her waiting!' Alice felt so desperate that she was ready to ask help of any one; so, when the Rabbit came near her, she began, in a low, timid voice, 'If you please, sir--' The Rabbit started violently, dropped the white kid gloves and the fan, and skurried away into the darkness as hard as he could go.""]"
246,15,246_joab_abner_ner_king,"['joab', 'abner', 'ner', 'king', 'benaiah', 'fled', 'knowest', 'captains', 'returned', 'host']","['2:28 Then tidings came to Joab: for Joab had turned after Adonijah, though he turned not after Absalom. And Joab fled unto the tabernacle of the LORD, and caught hold on the horns of the altar.', '3:23 When Joab and all the host that was with him were come, they told Joab, saying, Abner the son of Ner came to the king, and he hath sent him away, and he is gone in peace.', ""21:3 And Joab answered, The LORD make his people an hundred times so many more as they be: but, my lord the king, are they not all my lord's servants?  why then doth my lord require this thing? why will he be a cause of trespass to Israel?  21:4 Nevertheless the king's word prevailed against Joab. Wherefore Joab departed, and went throughout all Israel, and came to Jerusalem.""]"
247,15,247_slept_stead_buried_reigned,"['slept', 'stead', 'buried', 'reigned', 'fathers', 'david', 'city', 'son', 'rehoboam', 'jotham']","['11:43 And Solomon slept with his fathers, and was buried in the city of David his father: and Rehoboam his son reigned in his stead.', '15:24 And Asa slept with his fathers, and was buried with his fathers in the city of David his father: and Jehoshaphat his son reigned in his stead.', '9:31 And Solomon slept with his fathers, and he was buried in the city of David his father: and Rehoboam his son reigned in his stead.']"
248,15,248_michael_cross_ball_lucifer,"['michael', 'cross', 'ball', 'lucifer', 'buttons', 'crosses', 'contradiction', 'symbol', 'shape', 'terror']","['""Why this,"" cried Lucifer, smiting the ball again, ""here is the only symbol, my boy.  So fat.  So satisfied. Not like that scraggy individual, stretching his arms in stark weariness.""  And he pointed up to the cross, his face dark with a grin.  ""I was telling you just now, Michael, that I can prove the best part of the rationalist case and the Christian humbug from any symbol you liked to give me, from any instance I came across.  Here is an instance with a vengeance.  What could possibly express your philosophy and my philosophy better than the shape of that cross and the shape of this ball?  This globe is reasonable; that cross is unreasonable.  It is a four-legged animal, with one leg longer than the others.  The globe is inevitable.  The cross is arbitrary. Above all the globe is at unity with itself; the cross is primarily and above all things at enmity with itself.  The cross is the conflict of two hostile lines, of irreconcilable direction.  That silent thing up there is essentially a collision, a crash, a struggle in stone.  Pah! that sacred symbol of yours has actually given its name to a description of desperation and muddle.  When we speak of men at once ignorant of each other and frustrated by each other, we say they are at cross-purposes.  Away with the thing!  The very shape of it is a contradiction in terms.""', ""Michael certainly could not have given any sort of rational account of this vast unmeaning satisfaction which soaked through him and filled him to the brim.  He felt with a sort of half-witted lucidity that the cross was there, and the ball was there, and the dome was there, that he was going to climb down from them, and that he did not mind in the least whether he was killed or not.  This mysterious mood lasted long enough to start him on his dreadful descent and to force him to continue it.  But six times before he reached the highest of the outer galleries terror had returned on him like a flying storm of darkness and thunder.  By the time he had reached that place of safety he almost felt (as in some impossible fit of drunkenness) that he had two heads; one was calm, careless, and efficient; the other saw the danger like a deadly map, was wise, careful, and useless. He had fancied that he would have to let himself vertically down the face of the whole building.  When he dropped into the upper gallery he still felt as far from the terrestrial globe as if he had only dropped from the sun to the moon.  He paused a little, panting in the gallery under the ball, and idly kicked his heels, moving a few yards along it.  And as he did so a thunderbolt struck his soul.  A man, a heavy, ordinary man, with a composed indifferent face, and a prosaic sort of uniform, with a row of buttons, blocked his way.  Michael had no mind to wonder whether this solid astonished man, with the brown moustache and the nickel buttons, had also come on a flying ship.  He merely let his mind float in an endless felicity about the man.  He thought how nice it would be if he had to live up in that gallery with that one man for ever.  He thought how he would luxuriate in the nameless shades of this man's soul and then hear with an endless excitement about the nameless shades of the souls of all his aunts and uncles.  A moment before he had been dying alone.  Now he was living in the same world with a man; an inexhaustible ecstasy.  In the gallery below the ball Father Michael had found that man who is the noblest and most divine and most lovable of all men, better than all the saints, greater than all the heroes--man Friday."", ""At length Michael sated himself with the mere sensual music of the voice of the man in buttons.  He began to listen to what he said, and even to make some attempt at answering a question which appeared to have been put several times and was now put with some excess of emphasis.  Michael realized that the image of God in nickel buttons was asking him how he had come there.  He said that he had come in Lucifer's ship.  On his giving this answer the demeanour of the image of God underwent a remarkable change.  From addressing Michael gruffly, as if he were a malefactor, he began suddenly to speak to him with a sort of eager and feverish amiability as if he were a child.  He seemed particularly anxious to coax him away from the balustrade.  He led him by the arm towards a door leading into the building itself, soothing him all the time.  He gave what even Michael (slight as was his knowledge of the world) felt to be an improbable account of the sumptuous pleasures and varied advantages awaiting him downstairs.  Michael followed him, however, if only out of politeness, down an apparently interminable spiral of staircase.  At one point a door opened.  Michael stepped through it, and the unaccountable man in buttons leapt after him and pinioned him where he stood.  But he only wished to stand; to stand and stare.  He had stepped as it were into another infinity, out under the dome of another heaven. But this was a dome of heaven made by man.  The gold and green and crimson of its sunset were not in the shapeless clouds but in shapes of cherubim and seraphim, awful human shapes with a passionate plumage.  Its stars were not above but far below, like fallen stars still in unbroken constellations; the dome itself was full of darkness.  And far below, lower even than the lights, could be seen creeping or motionless, great black masses of men. The tongue of a terrible organ seemed to shake the very air in the whole void; and through it there came up to Michael the sound of a tongue more terrible; the dreadful everlasting voice of man, calling to his gods from the beginning to the end of the world. Michael felt almost as if he were a god, and all the voices were hurled at him.""]"
249,15,249_gate_prince_46_shut,"['gate', 'prince', '46', 'shut', 'enter', '44', 'marketh', 'porch', 'shall', 'sanctuary']","['44:3 It is for the prince; the prince, he shall sit in it to eat bread before the LORD; he shall enter by the way of the porch of that gate, and shall go out by the way of the same.', '46:8 And when the prince shall enter, he shall go in by the way of the porch of that gate, and he shall go forth by the way thereof.', '46:2 And the prince shall enter by the way of the porch of that gate without, and shall stand by the post of the gate, and the priests shall prepare his burnt offering and his peace offerings, and he shall worship at the threshold of the gate: then he shall go forth; but the gate shall not be shut until the evening.']"
250,15,250_duchess_moral_tis_flamingoes,"['duchess', 'moral', 'tis', 'flamingoes', 'makes', 'flamingo', 're', 'pigs', 'tucked', 'growl']","[""'Oh, don't talk about trouble!' said the Duchess. 'I make you a present of everything I've said as yet.'"", ""'They all can,' said the Duchess; 'and most of 'em do.'"", ""'You don't know much,' said the Duchess; 'and that's a fact.'""]"
251,15,251_alice_size_little_she,"['alice', 'size', 'little', 'she', 'candle', 'herself', 'll', 'garden', 'marked', 'get']","[""Soon her eye fell on a little glass box that was lying under the table: she opened it, and found in it a very small cake, on which the words 'EAT ME' were beautifully marked in currants. 'Well, I'll eat it,' said Alice, 'and if it makes me grow larger, I can reach the key; and if it makes me grow smaller, I can creep under the door; so either way I'll get into the garden, and I don't care which happens!'"", ""And so it was indeed: she was now only ten inches high, and her face brightened up at the thought that she was now the right size for going through the little door into that lovely garden. First, however, she waited for a few minutes to see if she was going to shrink any further: she felt a little nervous about this; 'for it might end, you know,' said Alice to herself, 'in my going out altogether, like a candle. I wonder what I should be like then?' And she tried to fancy what the flame of a candle is like after the candle is blown out, for she could not remember ever having seen such a thing."", ""It was so long since she had been anything near the right size, that it felt quite strange at first; but she got used to it in a few minutes, and began talking to herself, as usual. 'Come, there's half my plan done now! How puzzling all these changes are! I'm never sure what I'm going to be, from one minute to another! However, I've got back to my right size: the next thing is, to get into that beautiful garden--how IS that to be done, I wonder?' As she said this, she came suddenly upon an open place, with a little house in it about four feet high. 'Whoever lives there,' thought Alice, 'it'll never do to come upon them THIS size: why, I should frighten them out of their wits!' So she began nibbling at the righthand bit again, and did not venture to go near the house till she had brought herself down to nine inches high.""]"
252,14,252_cat_cats_mad_vanished,"['cat', 'cats', 'mad', 'vanished', 'tail', 're', 'dog', 'mouse', 'growls', 'wags']","[""'Oh, you're sure to do that,' said the Cat, 'if you only walk long enough.'"", ""'I thought it would,' said the Cat, and vanished again."", ""'You'll see me there,' said the Cat, and vanished.""]"
253,14,253_gideon_midian_zeeb_oreb,"['gideon', 'midian', 'zeeb', 'oreb', 'midianites', 'host', 'bethbarah', 'jordan', 'messengers', 'tent']","['7:15 And it was so, when Gideon heard the telling of the dream, and the interpretation thereof, that he worshipped, and returned into the host of Israel, and said, Arise; for the LORD hath delivered into your hand the host of Midian.', '7:25 And they took two princes of the Midianites, Oreb and Zeeb; and they slew Oreb upon the rock Oreb, and Zeeb they slew at the winepress of Zeeb, and pursued Midian, and brought the heads of Oreb and Zeeb to Gideon on the other side Jordan.', '7:14 And his fellow answered and said, This is nothing else save the sword of Gideon the son of Joash, a man of Israel: for into his hand hath God delivered Midian, and all the host.']"
254,14,254_ephron_cave_heth_abraham,"['ephron', 'cave', 'heth', 'abraham', 'machpelah', 'field', 'bury', 'buryingplace', 'mamre', '23']","['23:17 And the field of Ephron which was in Machpelah, which was before Mamre, the field, and the cave which was therein, and all the trees that were in the field, that were in all the borders round about, were made sure 23:18 Unto Abraham for a possession in the presence of the children of Heth, before all that went in at the gate of his city.', '25:9 And his sons Isaac and Ishmael buried him in the cave of Machpelah, in the field of Ephron the son of Zohar the Hittite, which is before Mamre; 25:10 The field which Abraham purchased of the sons of Heth: there was Abraham buried, and Sarah his wife.', '49:29 And he charged them, and said unto them, I am to be gathered unto my people: bury me with my fathers in the cave that is in the field of Ephron the Hittite, 49:30 In the cave that is in the field of Machpelah, which is before Mamre, in the land of Canaan, which Abraham bought with the field of Ephron the Hittite for a possession of a buryingplace.']"
255,14,255_20_benhadad_messengers_wives,"['20', 'benhadad', 'messengers', 'wives', 'thy', 'sent', 'king', 'israel', 'servants', 'ahab']","['20:9 Wherefore he said unto the messengers of Benhadad, Tell my lord the king, All that thou didst send for to thy servant at the first I will do: but this thing I may not do. And the messengers departed, and brought him word again.', '20:2 And he sent messengers to Ahab king of Israel into the city, and said unto him, Thus saith Benhadad, 20:3 Thy silver and thy gold is mine; thy wives also and thy children, even the goodliest, are mine.', '20:5 And the messengers came again, and said, Thus speaketh Benhadad, saying, Although I have sent unto thee, saying, Thou shalt deliver me thy silver, and thy gold, and thy wives, and thy children; 20:6 Yet I will send my servants unto thee to morrow about this time, and they shall search thine house, and the houses of thy servants; and it shall be, that whatsoever is pleasant in thine eyes, they shall put it in their hand, and take it away.']"
256,14,256_hartfield_wingfield_wittier_certified,"['hartfield', 'wingfield', 'wittier', 'certified', 'dear', 'considers', 'fatigued', '_very_', 'you', 'continuance']","['""Do come with me,"" said Mrs. Weston, ""if it be not very disagreeable to you.  It need not detain us long.  We will go to Hartfield afterwards. We will follow them to Hartfield.  I really wish you to call with me. It will be felt so great an attention! and I always thought you meant it.""', '""Ah! my dear, it is not like Hartfield.  You make the best of it-- but after you have been a week at Hartfield, you are all of you different creatures; you do not look like the same.  Now I cannot say, that I think you are any of you looking well at present.""', '""It was something to feel that all the rest of my time might be given to Hartfield.  My regard for Hartfield is most warm""--']"
